,cases,deaths,tests_negative,tests_total,recovered
2020-03-06,1,0,0,49,0
2020-03-07,1,0,0,49,0
2020-03-08,2,0,0,114,0
2020-03-09,2,0,0,126,0
2020-03-10,2,0,0,126,0
2020-03-11,3,0,0,126,0
2020-03-12,3,0,0,126,0
2020-03-13,4,0,0,126,0
2020-03-14,5,0,0,283,0
2020-03-15,7,0,0,359,0
2020-03-16,7,0,0,359,0
2020-03-17,7,0,0,359,0
2020-03-18,10,0,0,359,0
2020-03-19,10,0,0,707,0
2020-03-20,10,0,0,707,0
2020-03-21,16,0,0,707,0
2020-03-22,22,0,0,707,0
2020-03-23,28,0,0,707,0
2020-03-24,28,0,0,707,0
2020-03-25,42,0,0,1272,0
2020-03-26,47,0,0,1272,0
2020-03-27,58,0,0,1779,0
2020-03-28,58,0,0,1779,0
2020-03-29,66,0,0,1779,0
2020-03-30,66,1,0,1779,0
2020-03-31,68,2,0,1779,0
2020-04-01,71,2,0,1779,0
2020-04-02,74,2,0,1779,0
2020-04-03,80,2,0,1779,0
2020-04-04,82,2,0,1779,0
2020-04-05,86,2,0,1779,0
2020-04-06,89,2,0,1779,0
2020-04-07,98,3,0,1779,0
2020-04-08,107,3,0,3295,38
2020-04-09,107,3,0,3295,38
